repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_pairs_count,qa_available,qa_score,quality_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs_v2/CodeLlama/OpenHands.md,0.0,0,0,0.0,0.713288,0.616411,1.0,1.0,0.653333,0.408182,0.166667,0.527385,1.0,0.133333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.653; factual=0.408; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.133; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.653; factual=0.408; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.133; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs_v2/CodeLlama/electron.md,0.0,0,0,0.0,0.379786,0.434192,0.4,0.0,0.65,0.40054,0.166667,0.527229,1.0,0.125,0,1,qa_pairs_missing; hierarchy=0.400; leaf_coverage=0.000; structural=0.650; factual=0.401; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.125; leaf_hits=0/1; terms=120; matrix: hierarchy=0.400; leaf_coverage=0.000; structural=0.650; factual=0.401; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.125; leaf_hits=0/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,meta-llama/CodeLlama-7b-Instruct-hf,java,outputs/docs_v2/CodeLlama/logstash.md,0.0,0,0,0.0,0.797415,0.757475,1.0,1.0,0.66,0.320517,1.0,0.742476,1.0,0.15,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.321; actionability=1.000; coherence=0.742; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.321; actionability=1.000; coherence=0.742; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs_v2/CodeLlama/ml-agents.md,0.0,0,0,0.0,0.808804,0.768671,1.0,1.0,0.696667,0.3575,1.0,0.718917,1.0,0.241667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.697; factual=0.357; actionability=1.000; coherence=0.719; section_coverage=1.000; key_term_coverage=0.242; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.697; factual=0.357; actionability=1.000; coherence=0.719; section_coverage=1.000; key_term_coverage=0.242; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs_v2/CodeLlama/puppeteer.md,0.0,0,0,0.0,0.86125,0.838984,1.0,1.0,0.65,0.738404,1.0,0.742021,1.0,0.125,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.650; factual=0.738; actionability=1.000; coherence=0.742; section_coverage=1.000; key_term_coverage=0.125; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.650; factual=0.738; actionability=1.000; coherence=0.742; section_coverage=1.000; key_term_coverage=0.125; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs_v2/CodeLlama/svelte.md,0.0,0,0,0.0,0.729201,0.636336,1.0,1.0,0.656667,0.504686,0.166667,0.527101,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.505; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.505; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs_v2/CodeLlama/wazuh.md,0.0,0,0,0.0,0.410202,0.473376,0.4,0.0,0.64,0.606675,0.166667,0.526938,1.0,0.1,0,1,qa_pairs_missing; hierarchy=0.400; leaf_coverage=0.000; structural=0.640; factual=0.607; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.100; leaf_hits=0/1; terms=120; matrix: hierarchy=0.400; leaf_coverage=0.000; structural=0.640; factual=0.607; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.100; leaf_hits=0/1; terms=120
