repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_pairs_count,qa_available,qa_score,quality_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs_v2/Qwen/OpenHands.md,0.0,0,0,0.0,0.833288,0.804487,1.0,1.0,0.726667,0.353526,1.0,0.92299,1.0,0.316667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.354; actionability=1.000; coherence=0.923; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.354; actionability=1.000; coherence=0.923; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs_v2/Qwen/electron.md,0.0,0,0,0.0,0.947891,0.950374,1.0,1.0,0.753333,1.0,1.0,0.998052,1.0,0.383333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.753; factual=1.000; actionability=1.000; coherence=0.998; section_coverage=1.000; key_term_coverage=0.383; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.753; factual=1.000; actionability=1.000; coherence=0.998; section_coverage=1.000; key_term_coverage=0.383; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,Qwen/Qwen2.5-Coder-7B-Instruct,java,outputs/docs_v2/Qwen/logstash.md,0.0,0,0,0.0,0.85198,0.829865,1.0,1.0,0.706667,0.492139,1.0,0.934025,1.0,0.266667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.492; actionability=1.000; coherence=0.934; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.492; actionability=1.000; coherence=0.934; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs_v2/Qwen/ml-agents.md,0.0,0,0,0.0,0.914629,0.908032,1.0,1.0,0.723333,0.868043,1.0,0.931714,1.0,0.308333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.723; factual=0.868; actionability=1.000; coherence=0.932; section_coverage=1.000; key_term_coverage=0.308; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.723; factual=0.868; actionability=1.000; coherence=0.932; section_coverage=1.000; key_term_coverage=0.308; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs_v2/Qwen/puppeteer.md,0.0,0,0,0.0,0.825026,0.786185,1.0,1.0,0.726667,0.438346,0.833333,0.854549,1.0,0.316667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.438; actionability=0.833; coherence=0.855; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.438; actionability=0.833; coherence=0.855; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs_v2/Qwen/svelte.md,0.0,0,0,0.0,0.842394,0.807755,1.0,1.0,0.723333,0.564194,1.0,0.668328,1.0,0.308333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.723; factual=0.564; actionability=1.000; coherence=0.668; section_coverage=1.000; key_term_coverage=0.308; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.723; factual=0.564; actionability=1.000; coherence=0.668; section_coverage=1.000; key_term_coverage=0.308; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs_v2/Qwen/wazuh.md,0.0,0,0,0.0,0.894913,0.881702,1.0,1.0,0.743333,0.716897,1.0,0.931043,1.0,0.358333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.743; factual=0.717; actionability=1.000; coherence=0.931; section_coverage=1.000; key_term_coverage=0.358; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.743; factual=0.717; actionability=1.000; coherence=0.931; section_coverage=1.000; key_term_coverage=0.358; leaf_hits=1/1; terms=120
