model_name,pre_mean_coverage_score,v2_mean_coverage_score,delta_mean_coverage_score,pre_mean_hierarchy_alignment,v2_mean_hierarchy_alignment,delta_mean_hierarchy_alignment,pre_mean_leaf_coverage,v2_mean_leaf_coverage,delta_mean_leaf_coverage,pre_mean_structural_fidelity,v2_mean_structural_fidelity,delta_mean_structural_fidelity,pre_mean_factual_grounding,v2_mean_factual_grounding,delta_mean_factual_grounding,pre_mean_actionability,v2_mean_actionability,delta_mean_actionability,pre_mean_coherence,v2_mean_coherence,delta_mean_coherence,pre_mean_required_sections_coverage,v2_mean_required_sections_coverage,delta_mean_required_sections_coverage,pre_mean_key_term_coverage,v2_mean_key_term_coverage,delta_mean_key_term_coverage,v2_mean_quality_score,judge_mean_weighted_quality_percent,judge_mean_coverage_percent
Qwen/Qwen2.5-Coder-7B-Instruct,0.726749,0.807489,+0.080740,0.985714,1.000000,+0.014286,1.000000,1.000000,+0.000000,0.672381,0.682857,+0.010476,0.528197,0.805704,+0.277507,0.500000,0.571428,+0.071428,0.772795,0.827081,+0.054286,0.964286,1.000000,+0.035714,0.234524,0.207143,-0.027381,0.847154,8.2,10.3
deepseek-ai/deepseek-coder-6.7b-instruct,0.752882,0.808555,+0.055673,1.000000,0.914286,-0.085714,1.000000,0.857143,-0.142857,0.686191,0.691429,+0.005238,0.591603,0.908921,+0.317318,0.523810,0.571428,+0.047618,0.791683,0.856564,+0.064881,1.000000,1.000000,+0.000000,0.215476,0.228572,+0.013096,0.820603,12.06,15.76
meta-llama/CodeLlama-7b-Instruct-hf,0.746105,0.807529,+0.061424,1.000000,0.914286,-0.085714,1.000000,0.857143,-0.142857,0.684762,0.673810,-0.010952,0.596037,0.977976,+0.381939,0.476190,0.500000,+0.023810,0.790110,0.852578,+0.062468,1.000000,1.000000,+0.000000,0.211905,0.184524,-0.027381,0.820851,7.82,9.6
mistralai/Mistral-7B-Instruct-v0.3,0.718131,0.788581,+0.070450,0.978571,1.000000,+0.021429,1.000000,1.000000,+0.000000,0.653571,0.671905,+0.018334,0.520671,0.972536,+0.451865,0.500000,0.238095,-0.261905,0.764744,0.826527,+0.061783,0.946429,1.000000,+0.053571,0.214286,0.179762,-0.034524,0.840438,9.62,9.91
