repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_pairs_count,qa_available,qa_score,quality_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs/CodeLlama/OpenHands.md,0.0,0,0,0.0,0.855834,0.811406,1.0,1.0,0.676667,1.0,0.333333,0.840486,1.0,0.191667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=1.000; actionability=0.333; coherence=0.840; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=1.000; actionability=0.333; coherence=0.840; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/electron.md,0.0,0,0,0.0,0.519654,0.627246,0.4,0.0,0.653333,1.0,0.333333,0.843864,1.0,0.133333,0,1,qa_pairs_missing; hierarchy=0.400; leaf_coverage=0.000; structural=0.653; factual=1.000; actionability=0.333; coherence=0.844; section_coverage=1.000; key_term_coverage=0.133; leaf_hits=0/1; terms=120; matrix: hierarchy=0.400; leaf_coverage=0.000; structural=0.653; factual=1.000; actionability=0.333; coherence=0.844; section_coverage=1.000; key_term_coverage=0.133; leaf_hits=0/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,meta-llama/CodeLlama-7b-Instruct-hf,java,outputs/docs/CodeLlama/logstash.md,644.399,0,0,0.0,0.825914,0.770298,1.0,1.0,0.67,0.883333,0.333333,0.730877,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.883; actionability=0.333; coherence=0.731; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.883; actionability=0.333; coherence=0.731; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs/CodeLlama/ml-agents.md,944.44,0,0,0.0,0.833959,0.777447,1.0,1.0,0.68,0.9625,0.166667,0.826313,1.0,0.2,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.963; actionability=0.167; coherence=0.826; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.963; actionability=0.167; coherence=0.826; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/puppeteer.md,819.244,0,0,0.0,0.919719,0.9164,1.0,1.0,0.67,1.0,1.0,0.882664,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=1.000; actionability=1.000; coherence=0.883; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=1.000; actionability=1.000; coherence=0.883; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/svelte.md,863.542,0,0,0.0,0.870763,0.832386,1.0,1.0,0.7,1.0,0.333333,0.949242,1.0,0.25,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=1.000; actionability=0.333; coherence=0.949; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=1.000; actionability=0.333; coherence=0.949; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/wazuh.md,862.264,0,0,0.0,0.920117,0.917523,1.0,1.0,0.666667,1.0,1.0,0.894598,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=1.000; actionability=1.000; coherence=0.895; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=1.000; actionability=1.000; coherence=0.895; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
